snapshot_date,owner_group,repo_count,total_stars,avg_stars,total_forks,total_watchers,total_open_issues,archived_repo_count,active_repo_count,language_count
2026-03-28,rlemke,1,0,0,0,0,0,0,1,1
2026-03-28,rohithhelman,1,0,0,0,0,0,0,1,1
2026-03-28,rtjohnson0,1,0,0,0,0,0,0,1,1
2026-03-28,salonichauhan1101,1,0,0,0,0,0,0,1,1
2026-03-28,sewon-p,1,0,0,0,0,0,0,1,1
2026-03-28,sfaizi24,1,0,0,0,0,0,0,1,1
2026-03-28,skbb2553,1,0,0,0,0,0,0,1,1
2026-03-28,souravppm,1,0,0,0,0,0,0,1,1
2026-03-28,sudeepgupta90,1,0,0,0,0,0,0,1,1
2026-03-28,swaroop97,1,0,0,0,0,0,0,1,1
2026-03-28,swasxtik,1,0,0,0,0,0,0,1,1
2026-03-28,thara-sritharadol,1,0,0,0,0,0,0,1,1
2026-03-28,tprashanth1907,1,0,0,0,0,0,0,1,1
2026-03-28,vikeshkumar1017,1,0,0,0,0,0,0,1,1
2026-03-28,wahabali,1,0,0,0,0,0,0,1,1
2026-03-28,wellingtonb3,1,0,0,0,0,0,0,1,1
